source,challenger,reference,stratum,horizon,n_basins,n_rows,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,6,199,15522,2.0695512899151502,1.6600399146685394,2.545206032114648,-7.155156877077409,4.2206283480101597e-10
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,1,35,2905,0.8937681637341877,0.578768859972609,1.26724843194898,-5.812005897444851,1.1400178903494704e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,2,35,2870,1.0182436188280297,0.5471683642847835,1.5739442366440723,-4.2518613369296165,5.640578211917744e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,3,35,2835,1.013351153220976,0.5402578268701669,1.5184001734082828,-3.810183611009143,0.0002713163047881872
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,4,35,2800,0.8954966901264183,0.2619791288834103,1.54651288553161,-2.789352746221116,0.00661613260725216
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,5,35,2765,0.7819002351191928,0.1252132294969155,1.4477439209185774,-2.218553765776299,0.02942483977772767
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,6,35,2730,1.273653781966877,0.2627941981665033,2.3587649171639766,-2.215171193733139,0.029704018372843723
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,1,78,6474,0.8951272998557025,0.481967066311848,1.3575793573723616,-4.632318802338195,1.3437985857970746e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,2,78,6396,1.4327083388738338,0.8146695954094288,2.1455095951204357,-4.42292107595299,3.0018399204823518e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,3,78,6318,1.3547055107454797,0.7432810327345335,2.0343006284235,-3.5842145208569436,0.0005795768660008913
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,4,78,6240,1.3205066869600435,0.6349092131520134,2.093303751177069,-3.236163658336758,0.0017709137709473683
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,5,78,6162,0.9764032594824168,-0.06782081864048772,1.854982939939726,-1.8424389062018762,0.06921098394845247
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,6,78,6084,1.8279749396163059,0.666571227875763,2.9751689856381214,-2.781954707034164,0.006791767797261214
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,1,78,6474,1.4734797758930274,1.1394711657100518,1.8835781014136928,-7.144441012260213,3.3610586657711597e-10
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,2,78,6396,1.7700648311653189,1.3093853547388277,2.2879180385516182,-6.571924729854193,4.46160738130038e-09
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,3,78,6318,1.399019536465862,0.9337234030900143,1.9292483349373575,-4.89884067367912,4.940549462409866e-06
